Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Multiple Lines,Internet Service,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges
1,0,1,1,51,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Mailed check,24.95,1222.25
1,1,0,0,36,1,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,1,Electronic check,90.85,3186.7
1,0,0,1,5,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,20.45,106.9
1,0,1,1,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.4,20.4
1,1,1,0,7,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Mailed check,74.4,527.9
1,0,1,0,69,1,No,DSL,Yes,Yes,No,No,No,No,One year,1,Credit card (automatic),53.65,3804.4
1,0,1,0,22,1,No,DSL,Yes,No,Yes,Yes,Yes,No,One year,1,Bank transfer (automatic),67.5,1544.05
0,0,0,0,63,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,24.2,1618.2
0,0,1,1,55,1,Yes,DSL,Yes,Yes,No,Yes,No,Yes,One year,1,Bank transfer (automatic),75.75,4264.25
0,0,0,0,3,1,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,0,Electronic check,57.55,161.45
1,0,1,0,67,1,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Two year,0,Credit card (automatic),81.35,5398.6
0,0,0,0,3,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,25.25,58.9
1,0,0,0,1,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Mailed check,19.75,19.75
1,0,0,0,16,1,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,1,Credit card (automatic),89.05,1448.6
1,0,0,1,62,1,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,1,Electronic check,104.05,6590.5
0,0,0,0,8,1,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,1,Bank transfer (automatic),65.5,573.15
1,0,0,1,9,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.1,190.25
0,0,1,0,6,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,0,Bank transfer (automatic),19.5,146.3
0,0,0,0,28,1,Yes,DSL,Yes,No,Yes,No,No,No,One year,0,Mailed check,59.0,1654.45
1,0,0,0,26,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,19.4,525.55
1,0,1,1,38,1,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,1,Credit card (automatic),101.15,3956.7
0,0,0,0,18,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,1,Electronic check,50.3,913.3
0,0,1,1,3,0,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,1,Mailed check,31.0,95.05
1,0,1,0,3,0,No phone service,DSL,No,No,No,No,No,No,Month-to-month,0,Mailed check,25.0,78.25
1,0,1,0,70,1,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,0,Bank transfer (automatic),72.95,5265.55
1,0,1,1,67,1,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,1,Credit card (automatic),69.35,4653.25
1,0,0,1,71,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,0,Mailed check,24.35,1654.6
1,0,0,1,16,1,Yes,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,1,Electronic check,69.1,1083.7
0,0,1,1,10,1,No,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,1,Electronic check,65.5,616.9
1,0,0,0,1,1,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,1,Credit card (automatic),90.85,90.85
1,0,1,1,12,1,No,DSL,No,No,No,No,Yes,No,Month-to-month,1,Mailed check,56.3,628.65
0,0,0,0,5,1,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,0,Credit card (automatic),53.85,259.8
0,1,1,0,40,1,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,1,Credit card (automatic),99.2,4062.2
1,1,1,0,21,1,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),64.95,1339.8
1,0,0,0,9,1,No,DSL,Yes,No,Yes,Yes,No,Yes,Month-to-month,1,Bank transfer (automatic),68.25,576.95
0,0,1,0,7,1,No,DSL,Yes,No,No,No,No,No,Month-to-month,1,Bank transfer (automatic),50.3,355.1
0,0,0,0,38,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,0,Mailed check,20.05,678.2
1,0,0,0,1,1,No,DSL,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,50.5,50.5
1,0,0,0,7,1,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,1,Electronic check,74.9,490.55
0,0,0,0,2,1,No,Fiber optic,No,No,No,No,No,No,Month-to-month,1,Electronic check,70.95,137.95
0,0,0,0,56,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Bank transfer (automatic),19.55,1080.55
0,0,1,0,6,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,0,Electronic check,50.35,314.55
0,0,0,0,63,1,No,DSL,No,No,Yes,No,No,Yes,One year,0,Credit card (automatic),58.55,3503.5
0,0,0,0,64,1,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,1,Credit card (automatic),110.5,7069.25
1,0,1,0,29,0,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,1,Electronic check,45.9,1332.4
1,0,0,0,32,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Bank transfer (automatic),85.65,2664.3
0,1,0,0,2,1,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,1,Electronic check,84.05,186.05
1,0,1,0,60,1,No,Fiber optic,No,Yes,No,No,Yes,Yes,One year,1,Electronic check,94.4,5610.25
1,0,0,0,22,1,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,0,Mailed check,65.05,1427.55
1,0,0,0,11,0,No phone service,DSL,No,Yes,No,Yes,No,No,Month-to-month,1,Electronic check,35.65,425.1
1,1,1,0,57,1,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,1,Electronic check,90.65,5199.8
1,0,0,0,1,1,No,DSL,No,No,No,No,No,No,Month-to-month,1,Mailed check,44.15,44.15
0,0,0,0,62,1,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,1,Credit card (automatic),19.2,1123.65
0,0,1,0,47,1,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,1,Electronic check,98.75,4533.7
